artist,song,genre,era,url
Counting Crows,Round Here,Alternative,90s,https://www.youtube.com/watch?v=SAe3sCIakXo
Counting Crows,Hanginaround,Alternative,90s,https://www.youtube.com/watch?v=ARiiO_41Id8
Dinosaur Jr,Feel the Pain,Alternative,90s,https://www.youtube.com/watch?v=JXkN3nJyWEA
Everclear,Father of Mine,Alternative,90s,https://www.youtube.com/watch?v=kkcbxjWG9Mc
Everclear,Santa Monica,Alternative,90s,https://www.youtube.com/watch?v=MW6E_TNgCsY
Toad the Wet Sprocket,All I Want,Alternative,90s,https://www.youtube.com/watch?v=AVYYpNaSs2Y
50 Cent,In Da Club,Hip-Hop,2000s,https://www.youtube.com/watch?v=5qm8PH4xAss
Eminem,Without Me,Hip-Hop,2000s,https://www.youtube.com/watch?v=YVkUvmDQ3HY
JAY-Z,99 Problems,Hip-Hop,2000s,https://www.youtube.com/watch?v=6uikJTnmtgw
Kanye West,Stronger,Hip-Hop,2000s,https://www.youtube.com/watch?v=oIY-lGaW-p4
Lil Wayne,Lollipop,Hip-Hop,2000s,https://www.youtube.com/watch?v=2IH8tNQAzSs
Ludacris,Stand Up,Hip-Hop,2000s,https://www.youtube.com/watch?v=pZG7IK99OvI
OutKast,Ms. Jackson,Hip-Hop,2000s,https://www.youtube.com/watch?v=EUVo8epKwv0
T.I.,Whatever You Like,Hip-Hop,2000s,https://www.youtube.com/watch?v=nQJACVmankY
Drake,God's Plan,Hip-Hop,2010s,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
Kendrick Lamar,HUMBLE.,Hip-Hop,2010s,https://www.youtube.com/watch?v=tvTRZJ-4EyI
Migos,Bad and Boujee,Hip-Hop,2010s,https://www.youtube.com/watch?v=S-sJp1FfG7Q
Post Malone,Congratulations,Hip-Hop,2010s,https://www.youtube.com/watch?v=SC4xMk98Pdc
Travis Scott,SICKO MODE,Hip-Hop,2010s,https://www.youtube.com/watch?v=6ONRf7h3Mdk
Doja Cat,Woman,Hip-Hop,2020s,https://www.youtube.com/watch?v=yxW5yuzVi8w
GloRilla,F.N.F. (Let's Go),Hip-Hop,2020s,https://www.youtube.com/watch?v=ww6ykF2ktaI
Jack Harlow,First Class,Hip-Hop,2020s,https://www.youtube.com/watch?v=yQBImEeXNZ4
2Pac,Dear Mama,Hip-Hop,90s,https://www.youtube.com/watch?v=Mb1ZvUDvLDY
Coolio,Gangsta's Paradise,Hip-Hop,90s,https://www.youtube.com/watch?v=fPO76Jlnz6c
Dr. Dre,Still D.R.E.,Hip-Hop,90s,https://www.youtube.com/watch?v=_CL6n0FJZpk
House of Pain,Jump Around,Hip-Hop,90s,https://www.youtube.com/watch?v=XhzpxjuwZy0
Missy Elliott,The Rain (Supa Dupa Fly),Hip-Hop,90s,https://www.youtube.com/watch?v=hHcyJPTTn9w
Nas,N.Y. State of Mind,Hip-Hop,90s,https://www.youtube.com/watch?v=hI8A14Qcv68
Snoop Dogg,Gin and Juice,Hip-Hop,90s,https://www.youtube.com/watch?v=fWCZse1iwE0
The Notorious B.I.G.,Hypnotize,Hip-Hop,90s,https://www.youtube.com/watch?v=glEiPXAYE-U
Warren G,Regulate,Hip-Hop,90s,https://www.youtube.com/watch?v=1plPyJdXKIY
Wu-Tang Clan,C.R.E.A.M.,Hip-Hop,90s,https://www.youtube.com/watch?v=PBwAxmrE194
Donna Summer,Hot Stuff,Pop,70s,
Alanis Morissette,You Oughta Know,Pop,90s,https://www.youtube.com/watch?v=NPcyTyilmYY
Neil Young,Harvest,Rock,70s,https://www.youtube.com/watch?v=If6OYimXFTc
Neil Young,Heart of Gold,Rock,70s,https://www.youtube.com/watch?v=WZn9QZykx10
John Mellencamp,Pink Houses,Rock,80s,https://www.youtube.com/watch?v=qOfkpu6749w
Alice In Chains,Rooster,Rock,90s,https://www.youtube.com/watch?v=uAE6Il6OTcs
Alice In Chains,Would?,Rock,90s,https://www.youtube.com/watch?v=Nco_kh8xJDs
Alice In Chains,Them Bones,Rock,90s,https://www.youtube.com/watch?v=zTuD8k3JvxQ
Pearl Jam,Jeremy,Rock,90s,https://www.youtube.com/watch?v=MS91knuzoOA
Pearl Jam,Even Flow,Rock,90s,https://www.youtube.com/watch?v=CxKWTzr-k6s
Pearl Jam,Daughter,Rock,90s,https://www.youtube.com/watch?v=zgUwd2Gkb-E
Type O Negative,Love You To Death,Rock,90s,https://www.youtube.com/watch?v=xD5No_JRrZw
